Event Name,Event Time,Status,External Url
Toilville Office Hours,"Mar 25, 2025 03:00 PM - Mar 25, 2025 04:00 PM",APPROVED,
RevTech Summit 2021,"Jan 27, 2021 05:00 PM - Jan 27, 2021 09:00 PM",RELINQUISHED,http://bit.ly/RevTechLinkedIn
Demand Gen Summit Spring 2021,"Apr 28, 2021 04:00 PM - Apr 28, 2021 08:00 PM",RELINQUISHED,https://www.demandgensummit.com
"Ethnic, Racial and Diversity in Conversation Design","Jul 22, 2021 09:00 PM - Jul 22, 2021 10:00 PM",RELINQUISHED,
Bits & Bots Virtual Network Event / Conversational AI / Generative AI / LLM,"Mar 05, 2025 04:00 PM - Mar 05, 2025 06:00 PM",APPROVED,https://us20.campaign-archive.com/?u=8b6deb004b21309ec85765804&id=bc0b76fd0a
The Evolution of Conversation Design with LLMs (Expert Panel!),"Dec 05, 2024 06:00 PM - Dec 05, 2024 07:00 PM",APPROVED,http://bit.ly/cxd-llms
Toilville office hours,"Apr 23, 2025 03:00 PM - Apr 23, 2025 04:00 PM",APPROVED,
Building a Distributed Software Engineering Team in Europe,"Apr 14, 2021 04:00 PM - Apr 14, 2021 06:00 PM",RELINQUISHED,https://hubs.ly/H0JKWdl0
Is Voice Dead or Are We Just Getting Started? - Agentic AI // GenAI // CAI,"May 13, 2025 06:00 PM - May 13, 2025 07:00 PM",APPROVED,
Toilville office hours,"May 07, 2025 03:15 PM - May 07, 2025 04:15 PM",APPROVED,
Tribaja's End of Year Hiring Event,"Dec 17, 2024 10:00 PM - Dec 18, 2024 12:00 AM",APPROVED,https://www.eventbrite.com/e/tribajas-end-of-year-virtual-hiring-event-tickets-1092758733789?aff=oddtdtcreator
AI Agents & Voice Technology: Navigating the Age of LLMs & Privacy Concerns,"Mar 11, 2025 07:00 PM - Mar 11, 2025 08:00 PM",APPROVED,
LA Fire Sparks “HelpNow”: The Digital Assistant for Global Crisis Aid,"Mar 18, 2025 07:00 PM - Mar 18, 2025 08:00 PM",APPROVED,
Toilville Office Hours Tuesday 25/25,"Feb 25, 2025 04:00 PM - Feb 25, 2025 05:00 PM",APPROVED,
Toilville Office Hours,"Feb 18, 2025 09:00 PM - Feb 18, 2025 10:00 PM",APPROVED,
"AI FAILURE: Injustice, Inequality, and Algorithms | CXOTalk #882","May 30, 2025 05:00 PM - May 30, 2025 06:00 PM",APPROVED,
Can Bots Sell? Avoid These Pitfalls and Get Sales and Marketing Results,"Apr 21, 2021 04:00 PM - Apr 21, 2021 05:00 PM",RELINQUISHED,
RevTech Benchmark Study Results Deep Dive,"Feb 17, 2021 05:00 PM - Feb 17, 2021 05:30 PM",RELINQUISHED,
Toilville Office Hours,"Jan 15, 2025 08:00 PM - Jan 15, 2025 09:00 PM",APPROVED,
How Enterprises Are (Finally) Transforming Customer Experience With VoiceAI,"Apr 08, 2025 06:00 PM - Apr 08, 2025 07:00 PM",APPROVED,
Toilville office hours,"Apr 16, 2025 03:00 PM - Apr 16, 2025 04:00 PM",APPROVED,
