Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,"Hi,    Effectively communicate your professional results in your resume and a potential employer will want to learn about how you can do it for them. Convince them you can in the interview and you’re hired. Our resume writing and LinkedIn service - created by a former LinkedIn employee - delivers results, and for a limited time we’re offering it for $247.    Our clients regularly land dream jobs with significant raises, due in large part to how they communicate their results. For $247 you get:  -Resume rewrite with a 20 minute consultation ($195 value)  -Recommended LinkedIn edits ($195 value)  -Career strategy webinar ($195 value)  -60 minute career coaching call ($495 value)    Visit this link now to claim one of the remaining spots and save over $700.  https://resume.thejobsauce.com/ef    Best,    Eric Fettner @ The Job Sauce",,,,true
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,"Hi and thanks for reading!    I'm Keith Wolf, the CEO of ResumeSpice. While everyone selects resume writers for different reasons, our clients work with us because of our unique qualifications. I have a Harvard MBA and our company is a spinoff of Murray Resources, a recruiting firm where I’m also the Managing Director. We bring the perspective of recruiters to our clients and their resumes. We also know how to get through the applicant tracking information systems that most companies utilize.    We've worked with Presidents, CFO's, CIO's, as well as managers and employees in almost every industry. If you want to read some verified reviews of our service, please visit: https://www.trustpilot.com/review/resumespice.com    Here’s a recent email we received from one of our clients: “I went three months with my original resume and then the very first time I used the ""resume drafted by ResumeSpice"" I not only secure an interview, but I receive an offer of employment! You are truly amazing and awesome with what you do, and how you do it! Fantastic is an understatement!” – Herb D.    Please visit www.resumespice.com and if you like what you see, please message me back and we'll set up a time to talk about how we can help you.    Thank you!    Keith Wolf  CEO / Co-Founder  ResumeSpice  www.resumespice.com  ",,,,true
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,"Our background is what sets us apart from most resume writers. Many have a writing background while we bring our experience in human resources.  We know first-hand what recruiters are looking for and how to get past the applicant tracking software.     We offer several packages; every candidate has specific strengths and weaknesses when it comes to the job search process, and we are here to help you where you need it the most.    The services we offer include:  •	Resume Package 1 - $250  o	Email communication  o	Up to two revisions  •	Resume Package 2 - $350.00  o	Face to face or phone consult before starting resume (one hour)  o	LinkedIn Review  o	Unlimited Revisions  •	Resume Package 3 - $425.00  o	Everything in Package 2  o	Cover Letter  •	Resume Package 4 - $550   o	Everything in Package 3  o	Up to two hours of coaching time  •	Additional coaching hours - $75.00  •	Military Discount 20%    Every job search is different.  Let’s discuss your challenges and determine how we can best help during a free 15-minute phone consultation. You can find the time that works best for you by clicking the link in my signature below.  I look forward to connecting with you.    Krystal   (972) 855-8009  http://ebrconsultingllc.schedulista.com/  Krystal@ebrHRexperts.com  ",,,,true
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,"Hello,    You are seeking a job and searching for a resume writer. I congratulate you. It’s a pros way to go.    The biggest mistake my clients do, and in most resumes also is they all are lists of experience and education. It doesn’t work, and they complain about NO response, NO interview.     Your resume is you in person virtually.     Tell me the company is interested in you or not?    Of course, they are, but their interest is in knowing what you can do for them, what you contribute, how you performed the functions they are hiring you for?    Your NO Call and NO Interview will end with my resume. You will get an INTERVIEW your first step toward getting your next level better job.     The best way to interest hiring managers is to tell your successes the way they like to listen. I am good at it.     My resume will,     1.	Pass the ATS Application Tracking Software  2.	Get the attention of the recruiter  3.	Interest hiring manager    See how I do it.   http://jobgettingresume.com/resume    In 2017 LinkedIn recognized my work and invited me to join their pilot program to review active job seekers profiles. I did join and learned a lot from it. That helps me with resume work.     Reading my resume making process will give you a new perspective on resumes. My resume fee is $150.    Regards,  Mukesh    P.S. You want a job. The best way to get it is by telling your successes. I am doing it daily for pros and hope to be part of your job hunt success.    ",,,,true
Wed Jun 20 14:39:19 UTC 2018,SERVICE_MARKETPLACE,"I'm confident I can produce a compelling résumé/LinkedIn that meets your objectives. First, we must position your résumé to get through the RoBot -- Applicant Tracking Software (ATS) -- which uses artificial intelligence to score your résumé against keywords from the job description. A low score means your résumé will not get reviewed by a recruiter.     You’ll receive from us a résumé and/or LinkedIn that 1) is written with precision and is grammatically correct, 2) uses valid keywords in context, 3) highlights your considerable accomplishments, and 4) is accurately formatted, all of which improves your ATS score.     Your résumé will also be written to grab the attention of the recruiter, who spends just 3–5 seconds glancing at your work history. And because we highlight your accomplishments, you’ll make an impression with the hiring manager, standing out against your competition.     After we’ve rewritten your résumé, we run it through software that generates an optimization score, which we share with you. We don’t ignore the Bots. We use them.     With recognized writing credentials and 30 years’ experience crafting résumés (and LinkedIn), we combine technology with exceptional writing. Please call me at 719-331-5275 or email ann.haehn@xpm2consulting.com. More about our services & testimonials can be found at http://xpm2resumeservices.com.     $295  Package includes: 1 hour consultation, optimization report, 1 résumé, cover letter, & LinkedIn recommendations. ",,,,true
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,,,,,
Wed Jun 20 13:39:10 UTC 2018,SERVICE_MARKETPLACE,,,,,
Wed Jun 20 14:39:19 UTC 2018,SERVICE_MARKETPLACE,,,,,
Wed Jun 20 14:39:18 UTC 2018,SERVICE_MARKETPLACE,,,,,
Wed Jun 20 14:39:19 UTC 2018,SERVICE_MARKETPLACE,,,,,
