Date,Link,Message
2025-07-13 19:36:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350234048201441281,Congrats Matthew! 🎉
2025-07-03 17:08:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346581609850060800,ive definitely seen the wrong people survive these purges if efficiency is what they are seeking
2025-06-20 21:43:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341932892249309185,Liz Ryan its a song that truly reflects my values.
2025-06-20 21:02:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7341932892249309185,Tequila by the champs
2025-06-14 13:11:00,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339637767330533379,Hell I like to leave a friends surcharge
2025-06-03 14:02:04,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7335414459785428993,"Thanks for sharing, Jacintha! Loved our conversation!"
2025-05-26 18:45:53,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332839110857957376,Thanks for having me! Great conversation.
2025-05-17 13:13:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329490880019505152,When they said gigantic I thought they were talking about the big green one in the Hudson.
2025-05-16 18:08:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329203064102354944,"Gaby Jimenez. This is the new way: an algorithm picks the heads, and no one is accountable for the choice."
2025-05-16 13:22:02,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329132266658422785,Came here to +1 appreciation for the cool s
2025-05-11 16:24:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7327366403542458368,"If anything, the failing race to replace humans has given more credence to the camps who want to augment humans."
2025-05-08 00:33:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7326038316707905536,Amazing opportunity! Definitely one of the most exciting places to be st Microsoft right now.
2025-05-03 20:05:20,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7324517176193835008,Congrats Irina! 🎉
2025-05-01 01:57:41,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7323525110466760705,Its cool they figured it out five years after the ethical ai folks got fired for pointing this out.
2025-04-23 14:28:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320808551403114498,A wholly unrelated article https://www.halifaxexaminer.ca/morning-file/tech-companies-want-us-to-believe-our-work-and-profiles-are-incredibly-valuable-and-also-too-worthless-to-pay-for/
2025-04-23 14:00:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7320808551403114498,https://support.microsoft.com/en-us/topic/introducing-agents-943e563d-602d-40fa-bdd1-dbc83f582466 there is at least a store
2025-04-23 13:30:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7315757179523723264,Sorry folks feeling a bit under the weather! Will announce a makeup date soon.
2025-04-21 16:50:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7320126535888162818,"Its not all dunks, but I did find the first typo."
2025-04-19 19:40:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7319442166836068355,Finest products in the world
