Login Date,IP Address,User Agent,Login Type
Thu Aug 03 14:23:57 UTC 2023,2601:642:4c04:8825:e808:f65e:c9fa:edfc,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/115.1  Mobile/15E148 Safari/605.1.15",Login
Tue Aug 08 15:49:09 UTC 2023,2001:4898:80e8:37:7a82:ca9d:431:a567,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.188",Login
Tue Aug 15 16:16:46 UTC 2023,2001:4898:80e8:9:d9dd:3f0c:b171:7076,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",Login
Tue Aug 22 13:32:54 UTC 2023,2601:603:f7f:9810:2069:65f3:31fb:b34c,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari/605.1.15",Login
Sat Aug 26 00:45:05 UTC 2023,2601:603:f7f:9810:1d34:2c15:e924:4b81,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",Login
Sat Aug 26 00:45:06 UTC 2023,2601:603:f7f:9810:1d34:2c15:e924:4b81,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",Login
Fri Sep 08 19:26:25 UTC 2023,2601:603:f7f:9810:7909:358e:1796:f377,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/117.2  Mobile/15E148 Safari/605.1.15",Login
Sat Sep 09 01:48:16 UTC 2023,2601:603:f7f:9810:29d0:5904:3abd:260a,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/117.2  Mobile/15E148 Safari/605.1.15",Login
Fri Sep 22 21:46:29 UTC 2023,2601:603:f7f:9810:e05e:558:c9c3:c417,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.31",Login
Wed Sep 27 13:01:36 UTC 2023,2601:603:f7f:9810:f042:18f:82f5:836,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/117.3  Mobile/15E148 Safari/605.1.15",Login
