Date,Link,OptionText
2025-06-14 01:42:54,https://www.linkedin.com/feed/update/urn:li:groupPost:7064711-7339448570170720256,not at the moment
2025-03-24 13:38:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7309924994963132417,User trust
2025-03-12 23:51:18,https://www.linkedin.com/feed/update/urn:li:groupPost:7064711-7305728459979259904,Yes
2025-03-09 17:46:34,https://www.linkedin.com/feed/update/urn:li:groupPost:7064711-7304554492274876416,"Yes, PAYG is great"
2024-12-17 00:12:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:7271547179276591104,In case you would accept less
2024-12-13 20:27:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:7265774248500027393,"Yes, that’s correct"
2024-12-12 20:11:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7270284163776188417,"Yes, that happened to me"
2024-12-12 19:27:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7273048967309881345,"1,700+"
2024-12-11 13:47:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7272126226977198081,"No, it will not be banned"
2024-12-09 03:22:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:7271014358439104512,Other - please comment
2024-12-09 02:59:56,https://www.linkedin.com/feed/update/urn:li:ugcPost:7269748607778447360,"Yes, that is unfair to you"
2024-11-21 19:23:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7265408622824693760,Salary
2024-11-14 21:06:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:7261756369295364100,Baby Boomers
2024-08-07 15:04:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:7226964136104972289,Increased Regulation Oversight
2024-06-24 14:24:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7210685425487679488,No
2024-05-20 15:20:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:7198291755639721985,Yes - would stay clear
2024-02-22 16:11:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:7166293528803786752,Msft/Amzn not talent incubator
2024-02-20 18:50:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7165736657609052160,> 10 Years
2024-02-12 17:24:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7162738313429270528,Copilot Studio
2024-02-01 20:51:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7158589290862596097,Never
2024-01-08 15:29:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7150071336139231232,"Yes, it's totally a skill"
2023-12-14 21:00:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:7140162503967199232,I've been engaging less
2023-12-13 18:14:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7140373866542952448,Yes
2023-09-21 15:36:22,https://www.linkedin.com/feed/update/urn:li:ugcPost:7109565185115230209,Open AI
2023-09-15 16:45:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:7108487128677847040,Brainstorming
2023-01-03 22:20:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:7015812083162247169,No
2022-12-21 23:27:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7010858856993955840,Rap 1
2022-11-08 17:19:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6995671498493423616,Yes
2022-10-17 17:32:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:6987823450962698241,We've stopped hiring for now.
2022-10-01 15:44:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:6981995591211872256,Financial stability
2022-09-19 21:07:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6977648229739827200,My mind tends to wander
2022-06-14 21:09:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6942535465359089664,More money / Promotions
2022-05-10 16:18:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6929808411584819200,"No, they don't have to be"
2022-05-02 14:12:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:6926155154484338688,"$1,000,000 to $5,000,000"
2022-04-26 21:46:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:6924826585548165120,Just your name
2022-04-26 15:51:46,https://www.linkedin.com/feed/update/urn:li:ugcPost:6924506047307026432,Slack
2022-02-18 16:16:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6899468187574833152,Use cases and possibilities
2021-09-21 14:34:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:6846053010863337472,5-10 minutes
2021-08-28 15:40:02,https://www.linkedin.com/feed/update/urn:li:ugcPost:6837280367804850176,No
2021-08-19 12:56:30,https://www.linkedin.com/feed/update/urn:li:ugcPost:6833148893065302016,Would you get the vaccine?
2021-07-30 20:45:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:6826850190138368000,Self-Driving Car
2021-07-27 18:24:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:6825485703502295040,Other
2021-07-26 17:39:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:6825393551837274112,YES
2021-07-21 12:12:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6823519641109893120,Twitter
2021-01-11 19:56:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:6753553199891931136,RASA
2020-09-03 00:07:26,https://www.linkedin.com/feed/update/urn:li:groupPost:13886501-6706915846306058240,mix of synthetic and real
2020-07-28 13:48:40,https://www.linkedin.com/feed/update/urn:li:groupPost:13886501-6692112167296208896,Content managers
2020-07-28 13:40:31,https://www.linkedin.com/feed/update/urn:li:groupPost:13886501-6691707334751739904,Conversational AI
